value,group
1,control
1,control
1,control
1,control
1,control
1,control
4,control
1,control
1,control
1,control
4,control
1,control
1,control
1,control
2,control
1,control
1,control
1,control
1,control
4,control
1,control
5,control
1,control
1,control
1,control
2,control
1,control
1,control
1,control
1,control
4,control
3,control
1,control
1,control
1,control
1,control
1,control
1,control
1,control
1,control
1,control
1,control
1,control
1,control
1,control
1,control
1,control
1,control
1,control
1,control
1,control
1,control
1,control
2,scaleable
1,scaleable
1,scaleable
3,scaleable
1,scaleable
1,scaleable
1,scaleable
3,scaleable
1,scaleable
1,scaleable
1,scaleable
1,scaleable
2,scaleable
1,scaleable
1,scaleable
2,scaleable
1,scaleable
1,scaleable
3,scaleable
4,scaleable
1,scaleable
1,scaleable
3,scaleable
1,scaleable
1,scaleable
1,scaleable
3,scaleable
1,scaleable
1,scaleable
1,scaleable
1,scaleable
2,scaleable
1,scaleable
1,scaleable
1,scaleable
3,scaleable
2,scaleable
3,scaleable
1,scaleable
3,scaleable
1,scaleable
1,scaleable
1,scaleable
2,scaleable
1,scaleable
1,scaleable
1,scaleable
1,scaleable
1,scaleable
1,scaleable
2,scaleable
1,scaleable
1,scaleable
1,scaleable
1,scaleable
1,scaleable
4,immersive
4,immersive
4,immersive
2,immersive
1,immersive
2,immersive
1,immersive
2,immersive
1,immersive
4,immersive
1,immersive
1,immersive
4,immersive
2,immersive
2,immersive
2,immersive
2,immersive
2,immersive
2,immersive
1,immersive
1,immersive
2,immersive
2,immersive
2,immersive
2,immersive
1,immersive
1,immersive
1,immersive
3,immersive
1,immersive
1,immersive
1,immersive
2,immersive
1,immersive
3,immersive
1,immersive
4,immersive
2,immersive
1,immersive
1,immersive
2,immersive
3,immersive
1,immersive
1,immersive
2,immersive
1,immersive
1,immersive
4,immersive
2,immersive
1,immersive
1,immersive
1,immersive
1,immersive
