# Visits,Avg. Time on Site,Avg. Pages/Visit,
amy,1,"1 day, 4:46:15",459
AKSJ3C5O3V9RB,1,23:50:22,142
axz,10,21:03:36,3062.2
test,5,16:07:40,84.6
jenny,12,8:26:40,2551.2
A2P065E9CYMYJL,1,1:08:14,1225
A2YUCJ28XANFOX,1,1:07:55,794
A24B5UF6RMHYGx,1,0:51:29,497
A2OVWCQ4B9AHFY,1,0:50:45,924
AV22FQTJNBUZT,1,0:49:43,235
A1VL7507UONPX0,1,0:43:39,180
A32IRN8APZMCQ2,1,0:42:33,156
A2RBF3IIJP15IH,1,0:42:24,144
A2541C8MY0BYV3,1,0:38:17,108
A2O7V3NTBF9RRE,1,0:37:55,460
AJTHGXBMZJ3HE,1,0:35:28,123
A2WDF40FA670T9,1,0:34:45,214
A326O3VWP8TO8N,1,0:34:06,412
A18SXC3JEN1O0U,1,0:33:27,143
A2YOVBJ9EXAI8W,1,0:33:18,179
A1P6OXEJ86HQRM,1,0:32:46,151
A3TFKABX2WVOZ6,1,0:32:14,245
A3D70ANCSMGX5F,1,0:30:02,87
AKZ8SFOAI4RZN,1,0:29:07,145
A3RR85PK3AV9TU,1,0:28:48,192
ANK8K5WTHJ61C,1,0:27:31,154
A3LT7W355XOAKF,1,0:27:14,158
A1GXFMAC759VRM,1,0:27:03,181
AVNXCGTZQ1CFK,1,0:26:22,162
A2SO6K35NMGBB7,1,0:26:02,138
A24LC97AU3QC7G,1,0:25:50,134
A2W8ZV9DQWHJK,1,0:25:42,137
A11P1OS26E6AMO,1,0:25:38,205
A27SMEOPKV84VI,1,0:25:21,141
A1KILWESE344I6,1,0:24:29,474
A28HB7240OFGEW,1,0:23:58,149
A2KPT0PEUEXCC4,1,0:23:50,147
A1JVWOBGNA6KJT,1,0:23:43,146
A27HVVLSZZ13XK,1,0:23:18,141
AE4FRGGT254D3,1,0:23:17,122
AIEKCWYZTS41V,1,0:23:17,177
A1VPJFCJDIXGW7,1,0:23:16,162
A1PIFYLH5PAG6X,1,0:23:05,533
A11W7R2O4RQSSS,1,0:23:02,34
A34UER5ZQ5APMB,1,0:22:55,193
A1PLQGQ95NICAF,1,0:22:40,141
A3VZ5K4RRT6NN8,1,0:21:52,192
A4T4577P6JL6R,1,0:21:39,148
A19LKLAPLXL9B1,1,0:21:24,146
A3HKMZ9ML9EPUY,1,0:21:21,176
A2INXY39KBM92F,1,0:21:13,96
A9A2IX3OBORBE,1,0:21:06,204
A3EYWJCIO1MG9W,1,0:20:43,150
A1F34ZP6YNI98F,1,0:20:32,137
A3V6XE43H0BFC9,1,0:20:13,147
A1JO6AY55FG7QU,1,0:19:57,142
AU2RMH9IZP60M,1,0:19:51,143
A2CNSIECB9UP05,1,0:19:50,224
A2FL477TMKC91L,1,0:19:43,151
A25CFVQND4A0EV,1,0:19:34,152
A2VFEDAK5C1E1O,1,0:19:24,158
A1B76WYZ47BQJ,1,0:19:21,135
A320QA9HJFUOZO,1,0:19:09,151
A125KW9P18V5Z1,1,0:18:48,108
A3I40B0FATY8VH,1,0:18:45,152
A147F5PJTHOB8A,1,0:18:43,151
A1UW0C6QZOT3E7,1,0:18:31,143
A2CJYS92WX7HN6,1,0:18:27,147
A32U64W0S9PUA3,1,0:18:15,123
AA9V4NE8SOA4I,1,0:18:01,140
A2B6WQG0A9CKXQ,1,0:17:54,162
A3KRJFPU2W77UB,1,0:17:51,83
A256FHXGSY0E5D,1,0:17:44,159
A1TP0SGMUSJ34B,1,0:17:35,123
A1ZT30BGR3266K,1,0:17:34,143
A69RUK0SZV067,1,0:17:34,159
A3OW5EFQ5QFD19,1,0:17:15,153
A2VBSFSJXLZZ7A,1,0:17:11,146
A19TL7AJ0FB1JG,1,0:16:56,137
AEX9MA72M10DC,1,0:16:47,146
A31681CCEVDIH3,1,0:16:18,160
A1945USNZHTROX,1,0:16:05,136
A11Q8U6QTT8KGF,1,0:16:02,95
A3V1ZYXBJYCIIE,1,0:15:51,147
AEO84PDSWW0W,1,0:15:50,133
AD14EQ9O9JKRI,1,0:15:45,144
A1VAL7L9L79IN0,1,0:15:44,154
A191V7PT3DQKDP,1,0:15:35,156
A2ZNOMZ35LKY8Q,1,0:15:34,138
A3QSFE6GKO157S,1,0:15:32,209
A2DNLHS1RSTF5R,1,0:15:21,133
AMTTB8JUWRRM7,1,0:15:10,144
A4J4GGMKJ68L0,1,0:15:06,133
ACDTQNYOT3GG8,1,0:14:24,147
A1IMO5XR05U7S5,1,0:14:13,141
A27MJOV91GA8R3,1,0:14:03,139
A3GPTSDDHJ2DBV,2,0:13:55,95.5
A1RTLF0OVZI4QT,1,0:13:48,149
A3CSUQJ3WF1BKP,1,0:13:47,148
A273EH17NSJRH0,1,0:13:36,136
test1,1,0:13:18,61
AZBH4LJ5SL456,1,0:12:49,138
A3O5EU9QQV2OS1,1,0:11:58,146
A1PUHCEBSOWETV,1,0:11:42,156
A36SM7QM8OK3H6,1,0:08:05,89
A1IMRSDQ7RO9US,1,0:07:56,91
A2FV0CMG9S8CU0,1,0:07:42,24
AR8O1107OAW4V,2,0:07:08,72
AJW3PL5UDH4BP,1,0:04:50,32
A2PXJTMWGUE5DC,1,0:03:47,5
e,5,0:03:42,164.4
A22IIMLQ7K4B3M,1,0:03:36,12
A129DU6FOHUVNO,1,0:02:53,7
a,2,0:01:38,27.5
A1UGD2VEVSML1U,1,0:00:56,12
A2T11H7YI7QPGD,1,0:00:36,7
A2VFEDAK5C1E10,1,0:00:23,4
filler-1,1,0:00:19,9
b,1,0:00:16,16
filler-2,1,0:00:16,9
filler-3,1,0:00:16,9
filler-4,1,0:00:16,9
c,1,0:00:15,19
filler-5,1,0:00:15,9
d,1,0:00:13,20
A9HQ3E0F2AGVO,1,0:00:12,4
